,amenities
2241,"['Coffeemaker:Nespresso', 'Shampoo', 'Essentials', 'HDTVwithChromecast', 'Showergel', 'Minifridge', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Clothingstorage:closetandwardrobe', 'Refrigerator', 'Wifi', 'Freezer', 'Portableairconditioning', 'Inductionstove', 'Cleaningavailableduringstay', 'Firstaidkit', 'Hotwater', 'Lockbox', 'Bedlinens', 'Hangers', 'Kitchen', 'FreewasherInunit', 'Carbonmonoxidealarm', 'Centralheating', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Room-darkeningshades', 'Oven', 'Selfcheck-in', 'Petsallowed', 'Diningtable', 'Hotwaterkettle']"
2242,"['Browers&WilkinsBluetoothsoundsystem', 'Recordplayer', 'Shampoo', 'Essentials', 'Pocketwifi', 'Dishwasher', 'Waterfront', 'Showergel', 'Coffeemaker:espressomachine', 'Privateentrance', 'Blender', 'FreedryerInunit', 'Dryingrackforclothing', 'Outdoorfurniture', 'Longtermstaysallowed', 'Freeparkingonpremises', 'Outdoordiningarea', 'Gameconsole', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Freezer', 'Petsallowed', 'Hotwaterkettle', 'Inductionstove', 'Iron', 'Wineglasses', 'Freestreetparking', 'Conditioner', 'Hotwater', 'TV', 'Clothingstorage:closet', 'Lockbox', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'Privategyminbuilding', 'FreewasherInunit', 'Exerciseequipment', 'Portablefans', 'Centralheating', 'Carbonmonoxidealarm', 'PrivatebackyardFullyfenced', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Doubleoven', 'Selfcheck-in', 'Coffee', 'Diningtable', 'Microwave']"
2243,"['Washer', 'Paidparkingonpremises', 'Hostgreetsyou', 'Kitchen', 'Dedicatedworkspace', 'Smokealarm']"
2244,"['Boschrefrigerator', 'Shampoo', 'Sunloungers', 'Essentials', 'Dishwasher', 'Showergel', 'Minifridge', 'Smegstainlesssteeloven', 'Privateentrance', 'Blender', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Outdoorfurniture', 'Coffeemaker:espressomachine', 'pour-overcoffee', 'Longtermstaysallowed', 'SonosBluetoothsoundsystem', 'Freeparkingonpremises', 'Smegstainlesssteelgasstove', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Freezer', 'Wifi', 'Toaster', 'Iron', 'Wineglasses', 'Freestreetparking', 'Paidpacknplay/travelcrib-availableuponrequest', 'Cleaningavailableduringstay', 'Hotwater', 'TV', 'Clothingstorage:closet', 'Bedlinens', 'Kitchen', 'Bakingsheet', 'FreewasherInunit', 'Portablefans', 'Centralheating', 'Carbonmonoxidealarm', 'PrivatebackyardFullyfenced', 'Dishesandsilverware', 'Paidparkingonpremises', 'Hairdryer', 'Bodysoap', 'Room-darkeningshades', 'Fireextinguisher', 'Coffee', 'Hostgreetsyou', 'Diningtable', 'Hotwaterkettle']"
2245,"['Shampoo', 'Sunloungers', 'Paidstreetparkingoffpremises', 'Dishwasher', 'Showergel', 'Blender', 'Outdoorfurniture', 'Longtermstaysallowed', 'Coffeemaker', 'Outdoordiningarea', 'Cookingbasics', 'Dedicatedworkspace', 'Freezer', 'Smokealarm', 'Refrigerator', 'Wifi', 'Toaster', 'Iron', 'Wineglasses', 'Hotwater', 'TV', 'Bathtub', 'Kitchen', 'Bedlinens', 'Bakingsheet', 'Carbonmonoxidealarm', 'Centralheating', 'Dishesandsilverware', 'Paidparkingonpremises', 'Hairdryer', 'Oven', 'Patioorbalcony', 'Laundromatnearby', 'Diningtable', 'Hotwaterkettle']"
2246,"['Carbonmonoxidealarm', 'Wifi', 'Washer', 'Dryer', 'Iron', 'Childrensbooksandtoys', 'Hairdryer', 'Shampoo', 'Paidparkingonpremises', 'Kitchen', 'Essentials', 'Firstaidkit', 'Hotwater', 'Hangers', 'Dedicatedworkspace', 'Refrigerator']"
2247,"['55inchTV', 'Shampoo', 'Essentials', 'Dishwasher', 'Ikeasingleoven', 'Washer', 'Outdoorfurniture', 'Longtermstaysallowed', 'Coffeemaker', 'Privatepatioorbalcony', 'Cookingbasics', 'Dedicatedworkspace', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Dryer', 'Iron', 'Wineglasses', 'Firstaidkit', 'Hotwater', 'Kitchen', 'Bedlinens', 'Carbonmonoxidealarm', 'Centralheating', 'Dishesandsilverware', 'Room-darkeningshades', 'Fireextinguisher', 'Coffee', 'Hostgreetsyou', 'Diningtable']"
2248,"['Shampoo', 'Essentials', 'Showergel', 'FreedryerInunit', 'Washer', 'Dryingrackforclothing', 'Coffeemaker', 'Freeparkingonpremises', 'Outdoordiningarea', 'BBQgrill', 'Cookingbasics', 'Dedicatedworkspace', 'Cleaningproducts', 'Smokealarm', 'Lockonbedroomdoor', 'Wifi', 'Refrigerator', 'Iron', 'Firstaidkit', 'Booksandreadingmaterial', 'Lockbox', 'Hangers', 'Kitchen', 'Centralheating', 'Dishesandsilverware', 'Hairdryer', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Backyard', 'Selfcheck-in']"
2249,"['Keypad', 'Outdoorkitchen', 'Shampoo', 'Essentials', 'Dishwasher', 'Bidet', 'Waterfront', 'Paidparkingoffpremises', 'Showergel', 'Privateentrance', 'Mosquitonet', 'Blender', 'Trashcompactor', 'Washer', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Outdoorfurniture', 'Coffeemaker', 'Outdoorplayground', 'Selfcheck-in', 'Coffee', 'Outdoordiningarea', 'BBQgrill', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Stove', 'Toaster', 'Soundsystem', 'Iron', 'Wineglasses', 'Conditioner', 'Firstaidkit', 'Hotwater', 'TV', 'Bathtub', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Kitchen', 'Carbonmonoxidealarm', 'Firepit', 'Heating', 'Dishesandsilverware', 'Childrensbooksandtoys', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Boardgames', 'Oven', 'Backyard', 'Paidparkingonpremises', 'Patioorbalcony', 'Ricemaker', 'Clothingstorage', 'Barbecueutensils', 'Airconditioning', ""Children'splayroom"", 'Diningtable', 'Hotwaterkettle']"
2250,"['Movietheater', 'Shampoo', 'Essentials', 'Washer', 'Coffeemaker', '55inchHDTVwithNetflix', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Dryer', 'Iron', 'Hotwater', 'Kitchen', 'Hangers', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Patioorbalcony', 'Airconditioning', 'Microwave']"
2251,"['Wifi', 'Washer', 'Paidparkingonpremises', 'Firstaidkit', 'TV', 'Hottub', 'Kitchen']"
2252,"['Wifi', 'Washer', 'Dryingrackforclothing', 'Childrensbooksandtoysforages0-2yearsold', 'Hangers', 'Changingtable-alwaysatthelisting', 'Crib-alwaysatthelisting', 'Kitchen', 'TV', 'Standalonehighchair-availableuponrequest', 'Babybath-availableuponrequest', 'Bedlinens', 'Childrensdinnerware', 'Smokealarm']"
2253,"['Shampoo', 'Essentials', 'Privateentrance', 'Coffeemaker', 'Cookingbasics', 'Dedicatedworkspace', 'Smokealarm', 'Refrigerator', 'Wifi', 'Washer\\u00a0Inunit', 'Wineglasses', 'Hotwater', 'TV', 'Kitchen', 'Carbonmonoxidealarm', 'Centralheating', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Hostgreetsyou', 'Diningtable', 'Hotwaterkettle']"
2254,"['Shampoo', 'Hammock', 'Singlelevelhome', 'Essentials', 'Dishwasher', 'Paidparkingoffpremises', 'Showergel', 'Privateentrance', 'Blender', 'Dryingrackforclothing', 'Outdoorfurniture', 'Coffeemaker', 'Privatepatioorbalcony', 'Outdoordiningarea', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Stove', 'Hotwaterkettle', 'Dryer', 'Iron', 'Wineglasses', 'Firstaidkit', 'Hotwater', 'TV', 'Bathtub', 'Gardenview', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'FreewasherInunit', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'PrivatebackyardFullyfenced', 'Hairdryer', 'Bodysoap', 'Room-darkeningshades', 'Oven', 'Fireextinguisher', 'Clothingstorage', 'Laundromatnearby', 'Hostgreetsyou', 'Diningtable', 'Microwave']"
2255,"['Keypad', 'Paidstreetparkingoffpremises', 'Essentials', 'Dishwasher', 'Waterfront', 'Privateentrance', 'Blender', 'FreedryerInunit', 'Fastwifi527Mbps', 'Longtermstaysallowed', 'Coffeemaker', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Toaster', 'Refrigerator', 'Hotwaterkettle', 'Clothingstorage:closetanddresser', 'Iron', 'Canalview', 'Boatslip', 'Hotwater', 'TV', 'Bathtub', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Kitchen', 'Singleoven', 'FreewasherInunit', 'Portablefans', 'Heating', 'Dishesandsilverware', 'Paidparkingonpremises', 'Hairdryer', 'Room-darkeningshades', 'GoogleNestSpeakersBluetoothsoundsystem', 'Laundromatnearby', 'Selfcheck-in', 'Coffee', 'Kayak', 'Diningtable', 'Microwave']"
2257,"['Essentials', 'Dishwasher', 'Bidet', 'Privateentrance', 'Blender', 'Indoorfireplace:wood-burning', 'Childrensbikes', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Outdoorfurniture', 'Coffeemaker', 'Coffee', 'Outdoordiningarea', 'Crib-availableuponrequest', 'BBQgrill', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Stove', 'Babysitterrecommendations', 'Hotwaterkettle', 'Dryer', 'Iron', '48inchHDTVwithNetflix', 'standardcable', 'Wineglasses', 'Freestreetparking', 'Hotwater', 'Bathtub', 'Booksandreadingmaterial', 'Bedlinens', 'Kitchen', 'Bakingsheet', 'FreewasherInunit', 'Portablefans', 'Carbonmonoxidealarm', ""Children'splayroom"", 'Dishesandsilverware', 'Childrensbooksandtoys', 'Extrapillowsandblankets', 'Boardgames', 'Backyard', 'Oven', 'Barbecueutensils', 'Bikes', 'Outdoorplayground', 'Hostgreetsyou', 'Diningtable', 'Microwave']"
2258,"['Carbonmonoxidealarm', 'Wifi', 'Heating', 'Iron', 'Hairdryer', 'Shampoo', 'Bedlinens', 'Essentials', 'Fireextinguisher', 'Firstaidkit', 'TV', 'Hangers', 'Dedicatedworkspace', 'Smokealarm']"
2259,"['Carbonmonoxidealarm', 'Wifi', 'Washer', 'Iron', 'Paidparkingonpremises', 'Hairdryer', 'Fireextinguisher', 'Firstaidkit', 'TV', 'Kitchen', 'Smokealarm']"
2260,"['Carbonmonoxidealarm', 'Wifi', 'Washer', 'Paidparkingonpremises', 'Fireextinguisher', 'Firstaidkit', 'TV', 'Kitchen', 'Dedicatedworkspace', 'Smokealarm']"
2261,"['Coffeemaker:Nespresso', 'Lockbox', 'Shampoo', 'Sunloungers', 'Paidstreetparkingoffpremises', 'Singlelevelhome', 'Essentials', 'Dishwasher', 'Showergel', 'Privateentrance', 'Blender', 'FreedryerInunit', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Outdoorfurniture', 'Privatepatioorbalcony', 'Outdoordiningarea', 'Smegstainlesssteelgasstove', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Freezer', 'Smegstainlesssteeldoubleoven', 'Hotwaterkettle', 'Toaster', 'Iron', 'Wineglasses', 'Hotwater', 'TV', 'Bathtub', 'Gardenview', 'Bang&OlufsenBluetoothsoundsystem', 'Bedlinens', 'Hangers', 'Booksandreadingmaterial', 'Courtyardview', 'Radiantheating', 'Kitchen', 'FreewasherInunit', 'Carbonmonoxidealarm', 'Centralheating', 'Bakingsheet', 'PrivatebackyardFullyfenced', 'Clothingstorage:wardrobe', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Room-darkeningshades', 'Boardgames', 'Fireextinguisher', 'Ricemaker', 'Laundromatnearby', 'Barbecueutensils', 'Selfcheck-in', 'Coffee', 'Diningtable', 'Microwave']"
2262,"['Fastwifi98Mbps', 'Paidstreetparkingoffpremises', 'Singlelevelhome', 'Essentials', 'Dishwasher', 'Showergel', 'Coffeemaker:espressomachine', 'Privateentrance', 'FreedryerInunit', 'Dryingrackforclothing', 'Outdoorfurniture', 'Privatepatioorbalcony', 'Smeginductionstove', 'Outdoordiningarea', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Freezer', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Firstaidkit', 'Hotwater', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'FreewasherInunit', 'Carbonmonoxidealarm', 'Centralheating', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Sonossoundsystem', 'Oven', 'Clothingstorage', 'Coffee', '49inchHDTVwithChromecast', 'Diningtable', 'Microwave']"
2263,"['Wifi', 'Washer', 'Heating', 'Dryer', 'Dishesandsilverware', 'Gardenview', 'Cityskylineview', 'Kitchen']"
2265,"['Essentials', 'Paidparkingoffpremises', 'Showergel', 'Blender', 'Washer', 'Smeginductionstove', 'Outdoordiningarea', 'BBQgrill', 'Dedicatedworkspace', 'Smokealarm', 'Refrigerator', 'Wifi', 'Iron', 'Hotwater', 'TV', 'Booksandreadingmaterial', 'Kitchen', 'Bedlinens', 'Carbonmonoxidealarm', 'Centralheating', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Boardgames', 'Fireextinguisher', 'Coffeemaker:dripcoffeemaker', 'Barbecueutensils', 'Coffee', 'Diningtable']"
2266,"['Carbonmonoxidealarm', 'Wifi', 'Washer', 'Heating', 'Dryer', 'Iron', 'Shampoo', 'Kitchen', 'Essentials', 'Freeparkingonpremises', 'TV', 'Hangers', 'Privateentrance', 'Smokealarm']"
2267,"['Keypad', 'FreewasherInbuilding', 'Coffeemaker:Keurigcoffeemachine', 'Nespresso', 'Essentials', 'Showergel', 'Minifridge', 'Exteriorsecuritycamerasonproperty', 'Cityskylineview', 'Privateentrance', '50inchHDTVwithNetflix', 'premiumcable', 'standardcable', 'Fastwifi73Mbps', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Longtermstaysallowed', 'Bioshampoo', 'FreedryerInbuilding', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Freezer', 'Portableairconditioning', 'Iron', 'Wineglasses', 'Canalview', 'Firstaidkit', 'Hotwater', 'Clothingstorage:closet', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Portablefans', 'Centralheating', 'Carbonmonoxidealarm', 'Dishesandsilverware', 'Biobodysoap', 'Paidparkinggarageoffpremises', 'Hairdryer', 'Extrapillowsandblankets', 'Bioconditioner', 'Room-darkeningshades', 'Fireextinguisher', 'Laundromatnearby', 'Bikes', 'Selfcheck-in', 'Coffee', 'Cleaningavailableduringstay', 'Hotwaterkettle']"
2268,"['Wifi', 'Washer', 'TV', 'Exteriorsecuritycamerasonproperty', 'Hostgreetsyou', 'Kitchen', 'Smokealarm']"
2271,"['HDTVwithNetflix', 'Coffeemaker:Nespresso', 'Recordplayer', 'Stainlesssteelsingleoven', 'Dishwasher', 'Showergel', 'Blender', 'Dryingrackforclothing', 'Cookingbasics', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Inductionstove', 'Iron', 'Wineglasses', 'Freestreetparking', 'Hotwater', 'Lockbox', 'Bedlinens', 'Kitchen', 'Hangers', 'Carbonmonoxidealarm', 'Centralheating', 'Dishesandsilverware', 'Hairdryer', 'Extrapillowsandblankets', 'Fireextinguisher', 'EVcharger-level2', 'Selfcheck-in', 'Diningtable', 'Microwave']"
2272,"['Gasstove', 'Shampoo', 'Essentials', 'Dishwasher', 'Showergel', 'Coffeemaker:espressomachine', 'FreedryerInunit', 'HDTV', 'Cookingbasics', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Hotwater', 'Clothingstorage:closet', 'Lockbox', 'Bedlinens', 'Kitchen', 'Hangers', 'FreewasherInunit', 'Carbonmonoxidealarm', 'Centralheating', 'Dishesandsilverware', 'Hairdryer', 'Room-darkeningshades', 'Oven', 'Selfcheck-in', 'Microwave']"
2273,"['Coffeemaker:Nespresso', 'Shampoo', 'Paidstreetparkingoffpremises', 'Essentials', 'Dishwasher', 'Bluetoothsoundsystem', 'Showergel', 'Blender', 'FreedryerInunit', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Longtermstaysallowed', 'Cookingbasics', 'Cleaningproducts', 'Clothingstorage:closetandwardrobe', 'Smokealarm', 'Dedicatedworkspace', 'Wifi', 'Refrigerator', 'Freezer', 'Stove', 'Toaster', 'Iron', 'Wineglasses', 'Conditioner', 'Firstaidkit', 'Hotwater', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'FreewasherInunit', 'Exerciseequipment', 'Portablefans', 'Centralheating', 'Ethernetconnection', 'Carbonmonoxidealarm', 'Dishesandsilverware', 'HDTVwithHBOMax', 'Disney+', 'AmazonPrimeVideo', 'Netflix', 'Chromecast', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Boardgames', 'Oven', 'Fireextinguisher', 'Laundromatnearby', 'Coffee', 'Hostgreetsyou', 'Diningtable', 'Hotwaterkettle']"
2274,"['Gasstove', 'Paidstreetparkingoffpremises', 'Singlelevelhome', 'Essentials', 'Bosesoundsystemwithaux', 'Minifridge', 'Privateentrance', 'Blender', 'Washer', 'Piano', 'Clothingstorage:walk-incloset', 'Outdoordiningarea', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Toaster', 'Iron', 'Wineglasses', 'Coffeemaker:frenchpress', 'Firstaidkit', 'Hotwater', 'Bathtub', 'Gardenview', 'Lockbox', 'Bedlinens', 'Hangers', 'Kitchen', 'Carbonmonoxidealarm', 'Centralheating', 'Ethernetconnection', 'PrivatebackyardFullyfenced', 'Dishesandsilverware', 'Hairdryer', 'Oven', 'Fireextinguisher', 'Laundromatnearby', 'Selfcheck-in', 'Coffee', 'Loccitanebodysoap', 'Diningtable']"
2275,"['Wifi', 'Centralheating', 'Washer', 'Paidparkingonpremises', 'Essentials', 'Piano', 'Hotwater', 'TV', 'Outdoordiningarea', 'Kitchen', 'Petsallowed', 'Dedicatedworkspace', 'Smokingallowed']"
2276,"['Indoorfireplace:gas', 'Washer', 'Coffeemaker', '55inchHDTVwithNetflix', 'Privatepatioorbalcony', 'Dedicatedworkspace', 'Smokealarm', 'Refrigerator', 'Wifi', 'Dryer', 'Canalview', 'PrivatebackyardNotfullyfenced', 'Firstaidkit', 'Lockbox', 'Kitchen', 'Heating', 'Dishesandsilverware', 'Childrensbooksandtoys', 'Selfcheck-in']"
2277,"['Shampoo', 'Essentials', 'Dishwasher', 'Paidparkingoffpremises', 'Showergel', 'Privateentrance', 'Babysafetygates', 'Packnplay/Travelcrib', 'Blender', 'Washer', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Outdoorfurniture', 'Coffeemaker', 'Highchair', 'Selfcheck-in', 'Outdoordiningarea', 'BBQgrill', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Freezer', 'Toaster', 'Hotwaterkettle', 'Dryer', 'Iron', 'Wineglasses', 'Conditioner', 'Firstaidkit', 'Hotwater', 'TV', 'Bathtub', 'Booksandreadingmaterial', 'Lockbox', 'Bedlinens', 'Hangers', 'Kitchen', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Childrensbooksandtoys', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Oven', 'Patioorbalcony', 'Clothingstorage', 'Laundromatnearby', 'Childrensdinnerware', 'Coffee', 'Diningtable', 'Microwave']"
2278,"['Coffeemaker:Nespresso', 'Shampoo', 'Essentials', 'Showergel', 'Minifridge', 'Privateentrance', 'TVwithstandardcable', 'Luggagedropoffallowed', 'Cleaningproducts', 'Smokealarm', 'Lockonbedroomdoor', 'Wifi', 'Refrigerator', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Conditioner', 'Firstaidkit', 'Hotwater', 'Clothingstorage:closet', 'Bedlinens', 'Hangers', 'Portablefans', 'Centralheating', 'Carbonmonoxidealarm', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Crib', 'Privatelivingroom', 'Fireextinguisher', 'Hostgreetsyou', 'Microwave']"
2279,"['Shampoo', 'AEGstainlesssteelgasstove', 'Essentials', 'Dishwasher', 'BBQgrill:charcoal', 'Showergel', 'Coffeemaker:dripcoffeemaker', 'pour-overcoffee', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Outdoorfurniture', 'Fastwifi188Mbps', 'CombIwithmicrowaveoven', 'Privatepatioorbalcony', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Lockonbedroomdoor', 'Refrigerator', 'Hotwaterkettle', 'Iron', '32inchHDTVwithChromecast', 'Wineglasses', 'Conditioner', 'Hotwater', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Kitchen', 'Courtyardview', 'FreewasherInunit', 'Portablefans', 'Centralheating', 'Dishesandsilverware', 'Paidparkinggarageoffpremises', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Boardgames', 'Privatelivingroom', 'Fireextinguisher', 'Clothingstorage:closet', 'wardrobe', 'anddresser', 'Laundromatnearby', 'Coffee', 'Hostgreetsyou', 'Diningtable', 'Microwave']"
2280,"['Wifi', 'Washer', 'TV', 'Hostgreetsyou', 'Kitchen', 'Dedicatedworkspace', 'Smokealarm']"
2281,"['Essentials', 'Dishwasher', 'Privateentrance', 'FreedryerInunit', 'Coffeemaker', 'Privatepatioorbalcony', 'Cookingbasics', 'Dedicatedworkspace', 'Smokealarm', 'Refrigerator', 'Wifi', 'Stove', 'Iron', 'Wineglasses', 'Hotwater', 'TV', 'Ceilingfan', 'Bedlinens', 'Kitchen', 'Hangers', 'FreewasherInunit', 'Carbonmonoxidealarm', 'Centralheating', 'Dishesandsilverware', 'Hairdryer', 'Oven', 'Clothingstorage', 'Laundromatnearby', 'Diningtable', 'Microwave']"
2282,"['Paidwasher', 'Paidstreetparkingoffpremises', 'Singlelevelhome', 'Essentials', 'Dishwasher', 'Showergel', 'Privateentrance', 'Blender', 'Siemensrefrigerator', 'Dryingrackforclothing', 'Cookingbasics', 'Cleaningproducts', 'Clothingstorage:closetandwardrobe', 'Smokealarm', 'Dedicatedworkspace', 'Wifi', 'Freezer', 'Siemensstainlesssteelsingleoven', 'Iron', 'Doveshampoo', 'Gameconsole:PS5', 'Canalview', 'Firstaidkit', 'Hotwater', 'TV', 'Gardenview', 'Bedlinens', 'Hangers', 'Kitchen', 'Courtyardview', 'Radiantheating', 'Portablefans', 'Centralheating', 'Ethernetconnection', 'Dishesandsilverware', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Boardgames', 'Ricemaker', 'Laundromatnearby', 'Dovebodysoap', 'Bikes', 'Otherinductionstove', 'Diningtable', 'Microwave']"
2283,"['Carbonmonoxidealarm', 'Wifi', 'Iron', 'Hairdryer', 'Fireextinguisher', 'Firstaidkit', 'TV', 'Exteriorsecuritycamerasonproperty', 'Lockbox', 'Kitchen', 'Selfcheck-in', 'Petsallowed', 'Dedicatedworkspace', 'Smokealarm']"
2284,"['Shampoo', 'Sunloungers', 'Paidstreetparkingoffpremises', 'Essentials', 'Showergel', 'Mosquitonet', 'Blender', 'Washer', 'Dryingrackforclothing', 'Coffeemaker', 'Privatepatioorbalcony', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Stove', 'Toaster', 'Iron', 'Wineglasses', 'Conditioner', 'Hotwater', 'Bathtub', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Kitchen', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Oven', 'Fireextinguisher', 'Clothingstorage', 'Hotwaterkettle']"
2285,"['Gasstove', 'Barbecueutensils', 'Essentials', 'Dishwasher', 'EVcharger', 'Showergel', 'Minifridge', 'Andrelonshampoo', 'Privateentrance', 'Blender', 'FreedryerInunit', 'Childrensbikes', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Outdoorfurniture', 'Longtermstaysallowed', 'Coffeemaker', 'Outdoorplayground', 'Piano', 'Selfcheck-in', 'Coffee', 'Outdoordiningarea', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Petsallowed', 'Babysitterrecommendations', 'Iron', 'Wineglasses', 'Gameconsole:PS5', 'Canalview', 'Cleaningavailableduringstay', 'Indoorfireplace:electric', 'gas', 'Hotwater', 'TV', 'Bathtub', 'Booksandreadingmaterial', 'Lockbox', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'FreewasherInunit', 'Carbonmonoxidealarm', 'Andrelonconditioner', 'Ethernetconnection', 'Heating', 'Dishesandsilverware', 'Childrensbooksandtoys', 'Hairdryer', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Sonossoundsystem', 'Boardgames', 'Oven', 'Fireextinguisher', 'Paidparkingonpremises', 'Clothingstorage:closet', 'wardrobe', 'anddresser', 'Laundromatnearby', 'Dovebodysoap', 'Bikes', 'Childrensdinnerware', ""Children'splayroom"", 'Diningtable', 'Hotwaterkettle']"
2286,"['Essentials', 'Fastwifi185Mbps', 'Washer', 'Coffeemaker', 'Smokealarm', 'Refrigerator', 'Dryer', 'Hotwater', 'TV', 'Kitchen', 'Bedlinens', 'Carbonmonoxidealarm', 'Centralheating', 'Dishesandsilverware', 'Paidparkingonpremises', 'Hairdryer', 'Boardgames', 'Fireextinguisher', 'Patioorbalcony', 'Hotwaterkettle']"
2287,"['Shampoo', 'Essentials', 'Cityskylineview', 'Luggagedropoffallowed', 'Coffeemaker', 'Cookingbasics', 'Dedicatedworkspace', 'Smokealarm', 'Refrigerator', 'Wifi', '65inchHDTVwithpremiumcable', 'Netflix', 'Iron', 'Boschelectricstove', 'Firstaidkit', 'Hotwater', 'Lockbox', 'Kitchen', 'Hangers', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Oven', 'Fireextinguisher', 'Selfcheck-in']"
2288,"['Wifi', 'Washer', 'Firstaidkit', 'TV', 'Smartlock', 'Kitchen', 'Selfcheck-in', 'Dedicatedworkspace', 'Smokealarm']"
